Artist,SName,Tags
Bauhaus,Terror Couple Kill Colonel,NoSongFound
Bauhaus,The Lady in the Radiator Song,NoSongFound
Bauhaus,The Man With the X-Ray Eyes,NoSongFound
Bauhaus,The Passenger,NoSongFound
Bauhaus,The Spy In The Cab,NoSongFound
Bauhaus,The Three Shadows (Part II),NoSongFound
Bauhaus,The Three Shadows (Part III),NoSongFound
Bauhaus,Too Much 21st Century,NoSongFound
Bauhaus,Untitled,NoSongFound
Bauhaus,Waiting For The Man,NoSongFound
Bauhaus,Watch That Grandad Go,NoSongFound
Bauhaus,Who Killed Mr. Moonlight?,NoSongFound
Tristania,Evenfall,NoSongFound
Tristania,A Sequel Of Decay,NoSongFound
Tristania,...Of Ruins And A Red Nightfall,NoSongFound
Tristania,Midwintertears,NoSongFound
Tristania,Angellore,NoSongFound
Tristania,Year Of The Rat,NoSongFound
Tristania,Crushed Dreams (completa),NoSongFound
Tristania,Deadlocked,NoSongFound
Tristania,Amnesia,NoSongFound
Tristania,Exile,NoSongFound
Tristania,Number,NoSongFound
Tristania,Libre,NoSongFound
Tristania,Lost,NoSongFound
Tristania,Aphelion,NoSongFound
Tristania,Ab Initio,NoSongFound
Tristania,The Gate,NoSongFound
Tristania,World Of Glass,NoSongFound
Tristania,Requiem,NoSongFound
Tristania,Darkest White,NoSongFound
Tristania,Cathedral,NoSongFound
Tristania,Circus,NoSongFound
Tristania,postludium,NoSongFound
Tristania,Postludiom,NoSongFound
Tristania,Beyond The Veil,NoSongFound
Tristania,Angina,NoSongFound
Tristania,Arteries,NoSongFound
Tristania,Bird,NoSongFound
Tristania,Caprice,NoSongFound
Tristania,Cease To Exist,NoSongFound
Tristania,Crushed Dreams,NoSongFound
Tristania,Cure,NoSongFound
Tristania,Cypher,NoSongFound
Tristania,Deadlands,NoSongFound
Tristania,December Elegy,NoSongFound
Tristania,Dementia,NoSongFound
Tristania,Destination Departure,NoSongFound
Tristania,Diagnosis,NoSongFound
Tristania,Down,NoSongFound
Tristania,Endogenisis,NoSongFound
Tristania,Envy The Dead,NoSongFound
Tristania,Equilibrium,NoSongFound
Tristania,Fate,NoSongFound
Tristania,Hatred Grows,NoSongFound
Tristania,Heretique,NoSongFound
Tristania,Himmelfall,NoSongFound
Tristania,Illumination,NoSongFound
Tristania,In The Wake,NoSongFound
Tristania,Lavender,NoSongFound
Tristania,Lethean River,NoSongFound
Tristania,Lotus,NoSongFound
Tristania,Magical Fix,NoSongFound
Tristania,Mercyside,NoSongFound
Tristania,My Lost Lenore,NoSongFound
Tristania,Night On Earth,NoSongFound
Tristania,Open Ground,NoSongFound
Tristania,Opus Relinque,NoSongFound
Tristania,Pale Enchantress,NoSongFound
Tristania,Patriot Games,NoSongFound
Tristania,Protection,NoSongFound
Tristania,Sacrilege,NoSongFound
Tristania,Sanguine Sky,NoSongFound
Tristania,Saturnine,NoSongFound
Tristania,Scarling,NoSongFound
Tristania,Selling Out,NoSongFound
Tristania,Shadowman,NoSongFound
Tristania,Sirens,NoSongFound
Tristania,Tender Trip On Earth,NoSongFound
Tristania,The Emerald Piper,NoSongFound
Tristania,The Modern End,NoSongFound
Tristania,The Passing,NoSongFound
Tristania,The Ravens,NoSongFound
Tristania,The Shining Path,NoSongFound
Tristania,The Wretched,NoSongFound
Tristania,Vulture,NoSongFound
Tristania,Wasteland's Caress,NoSongFound
Therion,Clavicula Nox,NoSongFound
Therion,Summer Night City,NoSongFound
Therion,Melek Taus,NoSongFound
Therion,The Blood Of Kingu,NoSongFound
Therion,To Where I Weep,NoSongFound
